Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
RNF144B	"bA528A10.3, IBRDC2, P53RFP"	ENSG00000137393	"Ring finger protein 144B"	Q7Z419	6	18387350-18468870	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Apoptosis, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 54.9"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 326.7;Langerhans cells: 296.8;monocytes: 1645.6;Schwann cells: 263.9;Suprabasal keratinocytes: 714.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"non-classical monocyte: 72.3"	"Group enriched"	"Detected in many"	9	"dendritic cells: 18.4;granulocytes: 36.8;monocytes: 72.3"	"Cancer enhanced"	"Detected in many"		"lymphoma: 28.9"	"Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB046013, HPA054127, HPA072469"	Uncertain		Approved	Nucleoli,Mitochondria			NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 29: Monocytes - Innate immune response"	3	Nucleoli	Mitochondria	"CAB046013: AB_11126028, HPA054127: AB_2682391, HPA072469: "	"unprognostic (2.24e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.56e-1)"	"unprognostic (4.07e-2)"	"unprognostic (2.55e-1)"	"unprognostic (4.48e-3)"	"unprognostic (5.89e-2)"	"unprognostic (1.18e-2)"	"unprognostic (6.55e-2)"	"unprognostic (2.87e-3)"	"unprognostic (2.44e-2)"	"unprognostic (2.60e-1)"	"unprognostic (1.34e-1)"	"unprognostic (2.39e-1)"	"unprognostic (3.91e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.21e-1)"
SLC26A2	"DTD, DTDST"	ENSG00000155850	"Solute carrier family 26 member 2"	P50443	5	149960758-149993455	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"intestine: 204.5"	"Group enriched"	"Detected in all"	4	"Distal enterocytes: 2533.4;Glandular and luminal cells: 676.7;Syncytiotrophoblasts: 775.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 4.1"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Colon - Colon enterocytes, Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041957, HPA058090"	Enhanced		Approved	Vesicles			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 45: Intestine - Digestion"	"Cluster 25: Non-specific - Transcription"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 5: Enterocytes - Absorption"		Vesicles		"HPA041957: AB_10795646, HPA058090: AB_2683602"	"unprognostic (6.64e-2)"	"unprognostic (1.53e-1)"	"unprognostic (3.03e-2)"	"prognostic favorable (7.29e-4)"	"unprognostic (2.59e-2)"	"unprognostic (5.64e-2)"	"prognostic unfavorable (4.66e-4)"	"unprognostic (2.59e-1)"	"unprognostic (5.64e-2)"	"unprognostic (1.19e-1)"	"unprognostic (7.43e-2)"	"unprognostic (2.10e-1)"	"prognostic unfavorable (3.27e-4)"	"unprognostic (1.70e-1)"	"unprognostic (1.77e-1)"	"unprognostic (8.12e-2)"	"unprognostic (1.06e-1)"
TSPAN8	"CO-029, TM4SF3"	ENSG00000127324	"Tetraspanin 8"	P19075	12	71125085-71441898	"Cancer-related genes, Predicted membrane proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 919.6;stomach 1: 614.5"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 3097.9;Ductal cells: 947.7;Enteroendocrine cells: 836.8;Intestinal goblet cells: 813.6;Paneth cells: 1988.4;Proximal enterocytes: 3369.5;Undifferentiated cells: 1654.2"	"Group enriched"	"Detected in many"	4	"colorectal cancer: 283.9;pancreatic cancer: 156.9;stomach cancer: 194.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 618.1;Gastric cancer: 461.0"	"Colon - Colon enterocytes, Prostate - Prostate glandular cells, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"HPA022273, CAB026009, HPA044337"	Enhanced		Approved	Vesicles			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 30: White matter - Myelination"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	4	Vesicles		"CAB026009: , HPA022273: , HPA044337: AB_2678899"	"unprognostic (1.64e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.64e-1)"	"unprognostic (6.40e-2)"	"unprognostic (6.81e-2)"	"unprognostic (7.29e-3)"	"unprognostic (1.90e-1)"	"unprognostic (1.15e-1)"	"unprognostic (5.62e-2)"	"unprognostic (1.06e-1)"	"unprognostic (4.01e-3)"	"unprognostic (2.93e-1)"	"prognostic unfavorable (9.66e-5)"	"unprognostic (1.88e-2)"	"unprognostic (1.00e-1)"	"unprognostic (2.97e-2)"	"prognostic favorable (7.36e-5)"
ZBTB7B	"c-Krox, hcKrox, ZBTB15, ZFP67, ZNF857B"	ENSG00000160685	"Zinc finger and BTB domain containing 7B"	O15156	1	155002630-155018523	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 118.8;Proximal enterocytes: 141.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006811, HPA025820"	Enhanced		Enhanced	Nucleoplasm			NA	NA			"Cluster 7: Non-specific - Innate immune response"	"Cluster 13: Skin - Cornification"	"Cluster 6: Non-specific - Immune response"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 5: Enterocytes - Absorption"	11	Nucleoplasm		"HPA006811: AB_1859046, HPA025820: AB_1859045"	"unprognostic (5.13e-2)"	"unprognostic (2.83e-1)"	"unprognostic (1.45e-1)"	"unprognostic (4.36e-2)"	"unprognostic (2.43e-1)"	"unprognostic (4.95e-3)"	"unprognostic (9.55e-2)"	"unprognostic (1.41e-1)"	"unprognostic (3.72e-1)"	"unprognostic (2.56e-1)"	"unprognostic (2.65e-2)"	"unprognostic (1.46e-2)"	"unprognostic (5.35e-2)"	"unprognostic (1.11e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.61e-1)"	"unprognostic (1.53e-2)"
ABRACL	"C6orf115, Costars, HSPC280, PRO2013"	ENSG00000146386	"ABRA C-terminal like"	Q9P1F3	6	139028745-139043302	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 366.4;Proximal tubular cells: 417.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Kidney - Proximal tubular cells, Skin - Outer root sheath cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA030217	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA		9200000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 51: Neurons - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 19: NK-cells - Adaptive immune response"		Nucleoplasm	Cytosol	"HPA030217: AB_10602335"	"unprognostic (1.10e-2)"	"unprognostic (1.63e-1)"	"unprognostic (9.30e-2)"	"unprognostic (2.28e-1)"	"unprognostic (2.13e-1)"	"unprognostic (1.72e-1)"	"unprognostic (7.93e-3)"	"unprognostic (1.37e-1)"	"unprognostic (1.50e-1)"	"unprognostic (2.21e-1)"	"unprognostic (8.17e-2)"	"unprognostic (2.16e-1)"	"unprognostic (3.07e-3)"	"unprognostic (5.90e-3)"	"unprognostic (3.63e-2)"	"unprognostic (3.29e-2)"	"prognostic favorable (1.65e-6)"
ALDH18A1	"GSAS, P5CS, PYCS, SPG9"	ENSG00000059573	"Aldehyde dehydrogenase 18 family member A1"	P54886	10	95605941-95656711	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Amino-acid biosynthesis, Proline biosynthesis"	"Kinase, Multifunctional enzyme, Oxidoreductase, Transferase"	"Disease variant, Hereditary spastic paraplegia, Intellectual disability, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"salivary gland: 116.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 63.5;Proximal enterocytes: 67.2;Serous glandular cells: 67.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008333, HPA012604"	Approved		Enhanced	Mitochondria			NA	NA		48000	"Cluster 24: Non-specific - Transcription"	"Cluster 48: Stomach - Proteolysis"	"Cluster 44: Non-specific - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 75: Serous glandular cells - Salivary secretion"	4	Mitochondria		"HPA008333: AB_1078125, HPA012604: AB_1844721"	"unprognostic (5.97e-3)"	"unprognostic (2.08e-2)"	"unprognostic (5.75e-2)"	"prognostic favorable (4.20e-4)"	"unprognostic (1.60e-2)"	"unprognostic (1.06e-1)"	"unprognostic (8.30e-3)"	"unprognostic (7.08e-2)"	"unprognostic (4.06e-2)"	"unprognostic (8.04e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.81e-1)"	"prognostic unfavorable (3.60e-9)"	"unprognostic (1.02e-3)"	"unprognostic (6.57e-2)"	"unprognostic (1.29e-3)"	"unprognostic (6.43e-2)"
AMPH		ENSG00000078053	Amphiphysin	P49418	7	38383704-38631420	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 52.3;pituitary gland: 20.7;retina: 63.9"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 56.3;Cone photoreceptor cells: 69.7;Excitatory neurons: 220.5;Inhibitory neurons: 190.4;Oligodendrocyte precursor cells: 90.6;Rod photoreceptor cells: 52.8"	"Cancer enhanced"	"Detected in many"		"glioma: 3.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Brain cancer: 16.7"	"Liver - Hepatic stellate cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008559, HPA019828, HPA019829"	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 65: Neurons - Synaptic function"	7	Cytosol	"Plasma membrane"	"CAB008559: AB_1611845, HPA019828: AB_1844801, HPA019829: AB_1844802"	"unprognostic (1.76e-2)"	"unprognostic (1.59e-1)"	"unprognostic (5.94e-2)"	"unprognostic (7.36e-2)"	"unprognostic (3.24e-3)"	"unprognostic (2.92e-1)"	"unprognostic (4.90e-2)"	"unprognostic (2.55e-2)"	"unprognostic (4.37e-1)"	"unprognostic (1.08e-1)"	"prognostic favorable (9.96e-4)"	"unprognostic (5.06e-2)"	"unprognostic (5.81e-5)"	"unprognostic (1.23e-2)"	"unprognostic (5.63e-2)"	"unprognostic (8.03e-2)"	"unprognostic (1.68e-3)"
APOC1		ENSG00000130208	"Apolipoprotein C1"	P02654	19	44914247-44919349	"Cancer-related genes, Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Lipid transport, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	9	"liver: 17322.1"	"Cell type enriched"	"Detected in many"	8	"Hepatocytes: 34314.8"	"Cancer enriched"	"Detected in all"	21	"liver cancer: 3253.7"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	8	"myeloid DC: 5.9"	"Lineage enriched"	"Detected in single"	14	"dendritic cells: 5.9"	"Cancer enhanced"	"Detected in all"		"Leukemia: 273.6;liver cancer: 289.3"	"Liver - Hepatocytes, Lung - Macrophages, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"							HPA051518	Supported				"Secreted to blood"	Apolipoprotein	NA	NA	20300000000	15000000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 43: Hepatocytes - Metabolism"	23			"HPA051518: AB_2681519"	"unprognostic (3.51e-2)"	"unprognostic (3.31e-3)"	"unprognostic (1.14e-1)"	"unprognostic (2.59e-2)"	"unprognostic (2.06e-1)"	"unprognostic (1.47e-1)"	"prognostic favorable (1.15e-7)"	"unprognostic (9.51e-3)"	"unprognostic (1.30e-1)"	"unprognostic (4.18e-2)"	"unprognostic (1.11e-1)"	"unprognostic (2.52e-1)"	"unprognostic (7.13e-3)"	"unprognostic (3.48e-3)"	"unprognostic (1.65e-1)"	"unprognostic (2.01e-3)"	"unprognostic (1.65e-1)"
ASAP1	"CENTB4, DDEF1, KIAA1249, PAP, ZG14P"	ENSG00000153317	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	Q9ULH1	8	130052104-130443674	"Predicted intracellular proteins"	"Cilium biogenesis/degradation"	"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 334.1;Late spermatids: 474.7;Oligodendrocyte precursor cells: 583.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 11.7"	"Group enriched"	"Detected in many"	5	"dendritic cells: 3.7;granulocytes: 11.7;monocytes: 6.7"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Liver - Vascular Endothelial cells, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011136, CAB037292, HPA048565"	Approved		Uncertain	"Plasma membrane,Centrosome,Cytosol"			NA	NA		31000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	11	Centrosome	"Plasma membrane, Cytosol"	"CAB037292: AB_476723, HPA011136: AB_2668438, HPA048565: AB_2680445"	"unprognostic (1.20e-2)"	"unprognostic (1.15e-2)"	"unprognostic (7.68e-2)"	"prognostic unfavorable (5.81e-5)"	"unprognostic (1.77e-1)"	"unprognostic (3.33e-2)"	"prognostic unfavorable (5.63e-8)"	"prognostic unfavorable (3.56e-5)"	"unprognostic (3.34e-1)"	"unprognostic (5.27e-2)"	"unprognostic (8.56e-3)"	"unprognostic (1.10e-1)"	"prognostic unfavorable (1.50e-7)"	"unprognostic (3.79e-2)"	"unprognostic (1.19e-1)"	"unprognostic (7.38e-2)"	"unprognostic (1.22e-3)"
ATIC	"AICARFT, IMPCHASE, PURH"	ENSG00000138363	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"	P31939	2	215311956-215349773	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Purine biosynthesis"	"Hydrolase, Multifunctional enzyme, Transferase"	"Cancer-related genes, Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 179.8;Extravillous trophoblasts: 164.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013462, HPA021012"	Supported		Approved	"Plasma membrane,Cytosol"			NA	NA		3900000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 4: Extravillous trophoblasts - Unknown function"	1	Cytosol	"Plasma membrane"	"CAB013462: , HPA021012: AB_1845169"	"unprognostic (1.41e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.13e-2)"	"unprognostic (8.46e-2)"	"unprognostic (2.90e-1)"	"unprognostic (3.81e-2)"	"prognostic unfavorable (1.99e-7)"	"unprognostic (1.86e-2)"	"unprognostic (5.07e-2)"	"unprognostic (1.83e-1)"	"unprognostic (6.31e-3)"	"unprognostic (9.21e-2)"	"prognostic unfavorable (8.77e-4)"	"unprognostic (1.00e-1)"	"unprognostic (1.30e-1)"	"unprognostic (4.18e-2)"	"unprognostic (4.39e-3)"
B4GALNT2	"Cad, GALGT2, Sda"	ENSG00000167080	"Beta-1,4-N-acetyl-galactosaminyltransferase 2"	Q8NHY0	17	49132460-49176840	"Disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 32.4"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 5.8;Distal enterocytes: 29.9;Enteroendocrine cells: 6.6;Glandular and luminal cells: 6.2;Intestinal goblet cells: 25.3;Proximal enterocytes: 14.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells (progenitors), Colon - Colon enterocytes, Skin - Outer root sheath cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA015721	Approved						NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 5: Enterocytes - Absorption"	2			"HPA015721: AB_1845245"	"unprognostic (4.39e-4)"	"unprognostic (3.18e-1)"	"unprognostic (8.26e-3)"	"unprognostic (2.03e-4)"		"unprognostic (1.72e-2)"	"unprognostic (2.62e-2)"	"unprognostic (3.67e-2)"	"unprognostic (7.67e-2)"	"unprognostic (4.06e-1)"	"unprognostic (7.18e-3)"	"unprognostic (2.43e-1)"	"prognostic favorable (1.29e-5)"	"unprognostic (3.53e-1)"	"unprognostic (1.31e-1)"	"unprognostic (7.81e-3)"	"unprognostic (2.15e-1)"
BYSL	Enp1	ENSG00000112578	"Bystin like"	Q13895	6	41921499-41933046	"Predicted intracellular proteins"	"Ribosome biogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031217, HPA031219"	Enhanced		Enhanced	"Nucleoplasm,Nucleoli,Nucleoli rim,Mitotic chromosome"			Yes	No			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 27: Non-specific - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 39: Non-specific - Basic cellular processes"	119	"Nucleoli, Nucleoli rim, Mitotic chromosome"	Nucleoplasm	"HPA031217: AB_10599488, HPA031219: AB_10601989"	"unprognostic (6.12e-3)"	"unprognostic (6.97e-2)"	"unprognostic (2.90e-1)"	"unprognostic (2.33e-3)"	"unprognostic (4.38e-2)"	"unprognostic (2.73e-3)"	"prognostic unfavorable (6.43e-4)"	"unprognostic (2.09e-2)"	"unprognostic (2.51e-1)"	"unprognostic (6.38e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.03e-1)"	"prognostic unfavorable (2.15e-8)"	"unprognostic (4.39e-2)"	"unprognostic (2.18e-1)"	"unprognostic (2.79e-3)"	"unprognostic (5.99e-2)"
C1orf116	"FLJ36507, MGC2742, MGC4309, SARG"	ENSG00000182795	"Chromosome 1 open reading frame 116"	Q9BW04	1	207018522-207032756	"Predicted intracellular proteins"		Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 99.2;lung: 70.7;stomach 1: 57.2"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 177.1;Alveolar cells type 2: 95.6;Club cells: 46.8;Prostatic glandular cells: 49.6;Suprabasal keratinocytes: 51.6"	"Cancer enhanced"	"Detected in many"		"prostate cancer: 65.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"prostate cancer: 57.3"	"Colon - Colon enterocytes, Liver - Cholangiocyte, Prostate - Prostate glandular cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"HPA011888, HPA011889"	Enhanced		Enhanced	"Plasma membrane,Cytosol"			NA	NA		180000		"Cluster 27: Squamous epithelium - Keratinization"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"	2	"Plasma membrane, Cytosol"		"HPA011888: AB_1853872, HPA011889: AB_1853873"	"unprognostic (1.52e-2)"	"unprognostic (1.17e-1)"	"unprognostic (8.95e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.35e-1)"	"unprognostic (5.78e-2)"	"unprognostic (3.27e-1)"	"unprognostic (5.19e-2)"	"unprognostic (8.07e-2)"	"unprognostic (4.18e-2)"	"unprognostic (2.87e-3)"	"unprognostic (7.09e-3)"	"prognostic favorable (1.01e-5)"	"unprognostic (5.17e-1)"	"unprognostic (2.48e-1)"	"unprognostic (7.57e-3)"	"unprognostic (1.19e-1)"
