riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6600247-?	9E-29	"(subset analysis)"	NR	-	-	-	MIR4425,RUNX3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:24978623	26974007	"Ellinghaus D"
rs77981966-?	2E-16	"(subset analysis)"	NR	-	-	-	THADA	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:43550825	26974007	"Ellinghaus D"
rs7517847-?	1E-98	"(subset analysis)"	NR	-	-	-	IL23R,C1orf141	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:67215986	26974007	"Ellinghaus D"
rs702872-?	4E-11	"(subset analysis)"	NR	-	-	-	REL-DT	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:60854175	26974007	"Ellinghaus D"
rs183686347-?	6E-14	"(subset analysis)"	NR	-	-	-	IL23R	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:67237759	26974007	"Ellinghaus D"
rs2476601-?	3E-12	"(subset analysis)"	NR	-	-	-	PTPN22	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:113834946	26974007	"Ellinghaus D"
rs114202211-?	5E-8	"(subset analysis)"	NR	-	-	-	HIPK1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:113943285	26974007	"Ellinghaus D"
rs4845604-?	2E-16	"(subset analysis)"	NR	-	-	-	RORC	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:151829204	26974007	"Ellinghaus D"
rs6693105-?	4E-24	"(subset analysis)"	NR	-	-	-	LCE3A,LCE3B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:152618187	26974007	"Ellinghaus D"
rs4129267-?	9E-18	"(subset analysis)"	NR	-	-	-	IL6R	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:154453788	26974007	"Ellinghaus D"
rs4971079-?	3E-10	"(subset analysis)"	NR	-	-	-	HMGN2P18,KRTCAP2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:155157915	26974007	"Ellinghaus D"
rs78973538-?	3E-8	"(subset analysis)"	NR	-	-	-	GBAP1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:155224224	26974007	"Ellinghaus D"
rs1333062-?	2E-11	"(subset analysis)"	NR	-	-	-	CD244,ITLN1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:160876494	26974007	"Ellinghaus D"
rs10800314-?	1E-32	"(subset analysis)"	NR	-	-	-	RNU6-481P,FCGR2A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:161502999	26974007	"Ellinghaus D"
rs61802846-?	1E-9	"(subset analysis)"	NR	-	-	-	RNU6-481P,FCGR2A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:161504083	26974007	"Ellinghaus D"
rs79568124-?	8E-7	"(subset analysis)"	NR	-	-	-	RPS23P10,HSPA6	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:161533059	26974007	"Ellinghaus D"
rs6425143-?	1E-17	"(subset analysis)"	NR	-	-	-	SLC25A38P1,AIMP1P2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:172875212	26974007	"Ellinghaus D"
rs16841904-?	2E-9	"(subset analysis)"	NR	-	-	-	DENND1B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:197732862	26974007	"Ellinghaus D"
rs2816958-?	4E-15	"(subset analysis)"	NR	-	-	-	NR5A2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:200132792	26974007	"Ellinghaus D"
rs7552167-?	1E-8	"(subset analysis)"	NR	-	-	-	IFNLR1,GRHL3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:24192153	26974007	"Ellinghaus D"
rs3024493-?	1E-38	"(subset analysis)"	NR	-	-	-	IL10	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:206770623	26974007	"Ellinghaus D"
rs2234161-?	2E-11	"(subset analysis)"	NR	-	-	-	TNFRSF14	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:2559766	26974007	"Ellinghaus D"
rs2666218-?	9E-10	"(subset analysis)"	NR	-	-	-	ASAP2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:9262859	26974007	"Ellinghaus D"
rs6426833-?	7E-62	"(subset analysis)"	NR	-	-	-	RNF186-AS1,OTUD3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:19845367	26974007	"Ellinghaus D"
rs201014116-?	2E-7	"(subset analysis)"	NR	-	-	-	DNMT3A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:25278036	26974007	"Ellinghaus D"
rs4655215-?	8E-20	"(subset analysis)"	NR	-	-	-	TMCO4,RNF186	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:19811221	26974007	"Ellinghaus D"
rs925255-?	8E-18	"(subset analysis)"	NR	-	-	-	FOSL2-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:28391927	26974007	"Ellinghaus D"
rs80174646-?	1E-143	"(subset analysis)"	NR	-	-	-	IL23R	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:67242472	26974007	"Ellinghaus D"
rs7608910-?	2E-32	"(subset analysis)"	NR	-	-	-	PUS10	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:60977721	26974007	"Ellinghaus D"
rs10889676-?	2E-24	"(subset analysis)"	NR	-	-	-	IL23R	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	1:67256884	26974007	"Ellinghaus D"
rs4672505-?	2E-52	"(subset analysis)"	NR	-	-	-	RN7SL51P,RN7SL18P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:62333197	26974007	"Ellinghaus D"
rs11675538-?	3E-8	"(subset analysis)"	NR	-	-	-	LINC02934	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:65459327	26974007	"Ellinghaus D"
rs4851529-?	1E-14	"(subset analysis)"	NR	-	-	-	IL1R1,IL1R2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:102030838	26974007	"Ellinghaus D"
rs12987977-?	3E-17	"(subset analysis)"	NR	-	-	-	IL18R1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:102358876	26974007	"Ellinghaus D"
rs871656-?	1E-9	"(subset analysis)"	NR	-	-	-	IL1R1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:102154822	26974007	"Ellinghaus D"
rs11691685-?	5E-8	"(subset analysis)"	NR	-	-	-	TEX41	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:144724260	26974007	"Ellinghaus D"
rs2111485-?	3E-13	"(subset analysis)"	NR	-	-	-	IFIH1,FAP	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:162254026	26974007	"Ellinghaus D"
rs35667974-?	5E-10	"(subset analysis)"	NR	-	-	-	IFIH1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:162268127	26974007	"Ellinghaus D"
rs3747517-?	2E-9	"(subset analysis)"	NR	-	-	-	IFIH1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:162272314	26974007	"Ellinghaus D"
rs72871627-?	1E-8	"(subset analysis)"	NR	-	-	-	IFIH1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:162280432	26974007	"Ellinghaus D"
rs17229679-?	3E-17	"(subset analysis)"	NR	-	-	-	PLCL1,RNU7-147P	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	2:198696033	26974007	"Ellinghaus D"
